,Order Number,Line Item,Order Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Total Cost USD,Total Price USD
0,366000,1,2016-01-01,265598,10,1304,1,CAD,31.27,68.0
1,378002,2,2016-01-13,1599716,45,1304,1,USD,31.27,68.0
2,868008,2,2017-05-17,1540067,51,1304,1,USD,31.27,68.0
3,1078002,1,2017-12-13,631631,18,1304,1,EUR,31.27,68.0
4,1371000,1,2018-10-02,1257599,48,1304,8,USD,250.16,544.0
5,1508000,2,2019-02-16,188404,0,1304,2,AUD,62.54,136.0
6,1603022,2,2019-05-22,1416469,47,1304,3,USD,93.81,204.0
7,1617012,3,2019-06-05,1092416,40,1304,2,GBP,62.54,136.0
8,1620033,2,2019-06-08,65180,5,1304,1,AUD,31.27,68.0
9,1645007,1,2019-07-03,1388434,0,1304,2,USD,62.54,136.0
10,1645011,1,2019-07-03,1473522,0,1304,1,USD,31.27,68.0
11,1673007,2,2019-07-31,1617106,61,1304,9,USD,281.43,612.0
12,1689008,1,2019-08-16,1486787,0,1304,1,USD,31.27,68.0
13,1716006,6,2019-09-12,1247394,49,1304,1,USD,31.27,68.0
14,1743009,1,2019-10-09,151628,0,1304,2,AUD,62.54,136.0
15,1814016,2,2019-12-19,698960,17,1304,2,EUR,62.54,136.0
16,1816030,1,2019-12-21,946719,0,1304,1,GBP,31.27,68.0
17,1827064,2,2020-01-01,29689,4,1304,3,AUD,93.81,204.0
18,1832018,2,2020-01-06,995164,42,1304,3,GBP,93.81,204.0
19,1871004,2,2020-02-14,1539041,56,1304,2,USD,62.54,136.0
20,1875048,3,2020-02-18,949516,36,1304,2,GBP,62.54,136.0
21,366001,1,2016-01-01,1269051,0,1048,2,USD,282.94,854.0
22,374010,2,2016-01-09,665776,12,1048,1,EUR,141.47,427.0
23,668007,2,2016-10-29,710673,28,1048,4,EUR,565.88,1708.0
24,735013,3,2017-01-04,728541,30,1048,3,EUR,424.40999999999997,1281.0
25,776009,1,2017-02-14,1356935,54,1048,2,USD,282.94,854.0
26,1081010,3,2017-12-16,419225,19,1048,3,EUR,424.40999999999997,1281.0
27,1100006,1,2018-01-04,2096492,64,1048,1,USD,141.47,427.0
28,1151006,4,2018-02-24,678886,16,1048,8,EUR,1131.76,3416.0
29,1352012,1,2018-09-13,210267,0,1048,7,CAD,990.29,2989.0
30,1436028,1,2018-12-06,584186,0,1048,7,EUR,990.29,2989.0
31,1476017,1,2019-01-15,1388765,55,1048,3,USD,424.40999999999997,1281.0
32,1741003,1,2019-10-07,1756245,47,1048,3,USD,424.40999999999997,1281.0
33,1765034,2,2019-10-31,1407493,0,1048,4,USD,565.88,1708.0
34,1811016,1,2019-12-16,514299,27,1048,1,EUR,141.47,427.0
35,366001,2,2016-01-01,1269051,0,2007,1,USD,220.64,665.94
36,663001,2,2016-10-24,240595,9,2007,7,CAD,1544.48,4661.58
37,934006,4,2017-07-22,572163,19,2007,3,EUR,661.92,1997.8200000000002
38,1032009,2,2017-10-28,1458743,55,2007,1,USD,220.64,665.94
39,1078015,3,2017-12-13,565489,27,2007,3,EUR,661.92,1997.8200000000002
40,1148016,2,2018-02-21,241230,9,2007,1,CAD,220.64,665.94
41,1255000,2,2018-06-08,1238868,55,2007,1,USD,220.64,665.94
42,1283015,5,2018-07-06,1531024,45,2007,3,USD,661.92,1997.8200000000002
43,1291011,2,2018-07-14,958319,37,2007,1,GBP,220.64,665.94
44,1399011,4,2018-10-30,1865362,54,2007,1,USD,220.64,665.94
45,1417026,3,2018-11-17,1104307,36,2007,4,GBP,882.56,2663.76
46,1456066,1,2018-12-26,1912666,65,2007,2,USD,441.28,1331.88
47,1773016,1,2019-11-08,1390823,43,2007,3,USD,661.92,1997.8200000000002
48,1798015,2,2019-12-03,1097332,42,2007,8,GBP,1765.12,5327.52
49,1819054,2,2019-12-24,1362686,61,2007,2,USD,441.28,1331.88
50,1827009,1,2020-01-01,1629416,66,2007,4,USD,882.56,2663.76
51,366002,1,2016-01-01,266019,0,1106,7,CAD,1036.5600000000002,2254.0
52,434008,1,2016-03-09,926874,42,1106,6,GBP,888.48,1932.0
53,633015,2,2016-09-24,1001525,41,1106,6,GBP,888.48,1932.0
54,640003,2,2016-10-01,1756123,47,1106,2,USD,296.16,644.0
55,899003,4,2017-06-17,2054922,65,1106,2,USD,296.16,644.0
56,904004,1,2017-06-22,1118097,39,1106,1,GBP,148.08,322.0
57,1232012,1,2018-05-16,1652808,53,1106,1,USD,148.08,322.0
58,1342002,1,2018-09-03,710996,29,1106,2,EUR,296.16,644.0
59,1373012,2,2018-10-04,417360,21,1106,3,EUR,444.24,966.0
60,1377006,1,2018-10-08,1484561,64,1106,5,USD,740.4000000000001,1610.0
61,1378008,2,2018-10-09,1499317,65,1106,8,USD,1184.64,2576.0
62,1461014,2,2018-12-31,1951129,48,1106,3,USD,444.24,966.0
63,1484018,1,2019-01-23,502406,21,1106,3,EUR,444.24,966.0
64,1511006,4,2019-02-19,1979129,0,1106,2,USD,296.16,644.0
65,1625029,1,2019-06-13,1256294,66,1106,2,USD,296.16,644.0
66,1702014,3,2019-08-29,1750528,50,1106,1,USD,148.08,322.0
67,1774007,4,2019-11-09,138242,5,1106,1,AUD,148.08,322.0
68,1775003,1,2019-11-10,945870,37,1106,1,GBP,148.08,322.0
69,1823030,1,2019-12-28,1585352,44,1106,8,USD,1184.64,2576.0
